December, http://newsinfo.inquirer.net/553007/doh-records-2-more-firecracker-injuries
December, http://newsinfo.inquirer.net/553003/bus-catches-fire-at-slex
December, http://newsinfo.inquirer.net/552997/2-killed-in-separate-shooting-incidents-in-manila
December, http://newsinfo.inquirer.net/552987/santa-gangs-rob-jewellery-shops-in-albania-kosovo
December, http://newsinfo.inquirer.net/552977/police-seize-destroy-super-yolanda-napoles
December, http://newsinfo.inquirer.net/552965/kerry-expresses-concern-over-egypt-crackdown-on-muslim-brotherhood
December, http://newsinfo.inquirer.net/552845/reds-call-off-talks-with-aquino-administration
December, http://newsinfo.inquirer.net/552837/media-urged-to-join-drive-for-gun-control
December, http://newsinfo.inquirer.net/552841/senate-will-pass-foi-bill-by-march-drilon
December, http://newsinfo.inquirer.net/552821/easterlies-taking-brrr-out-of-december
December, http://newsinfo.inquirer.net/552817/despite-naysayers-aquino-still-rates-high-says-palace
December, http://newsinfo.inquirer.net/552807/petilla-quit-offer-scoffed-at
December, http://newsinfo.inquirer.net/552811/3-day-break-not-enough-for-aquino-says-health-chief
December, http://newsinfo.inquirer.net/552803/lets-use-hydrogen-fuel-senator-tells-govt
December, http://newsinfo.inquirer.net/552777/chinese-filipino-couple-charged-for-running-shabu-lab
December, http://newsinfo.inquirer.net/552711/ph-rebels-vow-to-build-25000-strong-force
December, http://newsinfo.inquirer.net/552675/2-farmers-caught-spray-painting-walls-with-pro-npa-slogans
December, http://newsinfo.inquirer.net/552663/meralco-set-to-refund-customers-after-high-court-tro-on-rate-hike
December, http://newsinfo.inquirer.net/552657/christmas-day-swimmer-bitten-by-shark-in-new-caledonia
December, http://newsinfo.inquirer.net/552651/2-italian-tourists-found-dead-in-nepal-hotel
December, http://newsinfo.inquirer.net/552645/skeletal-remains-found-in-north-cotabato-sugar-plantation
December, http://newsinfo.inquirer.net/552639/3-hurt-600-families-homeless-in-muntinlupa-fire
December, http://newsinfo.inquirer.net/552631/petilla-to-meet-with-power-players-to-discuss-tro-on-rate-hike
December, http://newsinfo.inquirer.net/552627/doh-77-firework-related-injuries-ahead-of-new-year-revelry
December, http://newsinfo.inquirer.net/552609/aquino-rejects-petilla-resignation
December, http://newsinfo.inquirer.net/552601/report-cases-of-indiscriminate-firing-public-urged
December, http://newsinfo.inquirer.net/552593/thai-election-body-urges-delay-in-polls
December, http://newsinfo.inquirer.net/552587/thai-police-clash-with-protesters-at-poll-venue
December, http://newsinfo.inquirer.net/552577/man-killed-in-front-of-qc-mall
December, http://newsinfo.inquirer.net/552569/repeal-of-epira-law-pushed
December, http://newsinfo.inquirer.net/552563/4-dead-in-christmas-day-car-crash-in-tagaytay
